,2004,2007,2010,2013,2016
ZAMBOANGA DEL SUR,42.39439779879784,41.54492330168006,41.00986799948737,42.68626734842951,43.40277777777777
SOUTHERN LEYTE,61.87968647625519,66.84743214582943,68.67431871678517,63.3356790992259,64.30634084787305
SAMAR,56.93287096941152,56.52706616172867,59.99409051785049,63.5204081632653,60.76489253735178
NORTHERN SAMAR,63.155065842515455,60.26736795967565,62.62012524025049,60.491493383742906,58.28011656023312
EASTERN SAMAR,57.409947670578674,56.69011679530087,66.81756450882752,69.87311385459532,66.93236208310292
LEYTE,29.977221425229203,29.463032378484275,29.774522559926705,29.564009763487928,30.346933980734594
BILIRAN,150.94795314575538,124.38111339210244,146.11761864509117,175.27815881725346,170.26929114841204
MISAMIS ORIENTAL,49.2648269398817,49.35937828187355,48.2253086419753,52.08333333333333,53.04783950617283
BUKIDNON,49.89408448731638,50.15159893976087,50.94448626599674,57.438016528925615,53.507728894173596
CAMIGUIN,206.93361999462513,203.96437805228382,203.96437805228382,203.96437805228382,238.4372306808388
MISAMIS OCCIDENTAL,73.6842105263158,76.54320987654323,82.23684210526314,81.30612244897958,84.76454293628808
LANAO DEL NORTE,50.23464868795031,62.48204538925596,61.459417273673246,59.02777777777778,57.57971645618618
MOUNTAIN PROVINCE,94.95982468955442,93.42647925258817,91.7133349565782,91.7133349565782,93.3365798230663
IFUGAO,92.20681647428455,104.50105867085581,101.76900484939553,96.30489720647496,101.76900484939553
BENGUET,66.49575388559526,72.10382951450089,72.10382951450089,77.1604938271605,68.09806120813973
ABRA,58.41423727890415,59.23121961846924,55.34377730778485,54.330618913134316,56.35693570243537
APAYAO,156.98826398414874,188.45467169212463,166.1332114007011,178.32647462277092,172.229843011736
KALINGA,119.55077889143824,117.13561164110618,126.02613018846114,126.28828567281178,119.0889120129495
ROMBLON,68.67922224596317,77.54330465645614,72.95259607460089,82.82835526551689,68.0687402704435
ORIENTAL MINDORO,70.67718606180142,73.30526926985051,81.289011467557,76.20844825083468,85.60184997362978
PALAWAN,58.28857421875,63.043308011590575,57.97770088427527,59.84000000000002,59.74415041063344
OCCIDENTAL MINDORO,95.84242183885257,105.09617291294867,105.09617291294865,124.92563950029745,127.56956837861063
MARINDUQUE,156.71493751239836,180.05912389142705,152.7474707399326,168.6173378297957,152.7474707399326
NEGROS OCCIDENTAL,39.80416042706062,45.88995321897973,41.494994895748405,41.66634337101668,41.20122502038028
ANTIQUE,66.31050497999948,77.85091382939623,74.90133963327877,87.69618728593474,76.47816671692112
ILOILO,30.841260404280618,34.54365502920686,34.58302679058501,35.300237812128415,35.021551724137936
CAPIZ,65.90357266736041,67.79442148760333,69.37218175511622,75.64875993488461,79.19990750375769
AKLAN,76.74161665024339,77.18266564201942,84.55542343770642,85.22727272727275,86.83837429111531
GUIMARAS,196.18382155334595,234.52518262206846,223.058317656544,246.9135802469135,244.5579145391024
SULTAN KUDARAT,95.36000000000001,97.00176366843031,96.23702422145328,96.23702422145328,114.55058873674673
COTABATO,59.87088713036234,66.48167418198638,64.55643481882548,71.12115014804186,67.25244144399495
SARANGANI,143.70735955871686,134.99782261576428,146.610538539701,180.05540166204986,197.03509101144672
SOUTH COTABATO,80.61224489795919,80.61224489795919,82.65306122448979,81.91556395715185,78.57142857142858
"NCR, SECOND DISTRICT",153.08641975308646,158.44875346260386,162.50495441934203,138.8771988889824,138.8771988889824
"NCR, CITY OF MANILA, FIRST DISTRICT",278.9256198347108,320.2479338842975,309.9173553719008,268.59504132231405,265.0081124932396
"NCR, FOURTH DISTRICT",106.29129560471128,103.7742084737921,110.38403066957503,116.99385286535792,123.60367506114088
"NCR, THIRD DISTRICT",196.1838215533459,185.43402311206668,202.91363163371483,187.3048907388137,213.31945889698227
AGUSAN DEL NORTE,89.74913494809687,97.55463059313215,90.8304498269896,100.48000000000003,96.23702422145328
SURIGAO DEL NORTE,49.99086924762601,59.38354227542651,59.127574594721594,60.69386796146918,66.44375857338818
SURIGAO DEL SUR,72.1085870487322,65.03911773022904,80.43639053254438,79.51183431952663,73.50221893491124
DINAGAT ISLANDS,0.0,332.1448677050102,288.8663086079257,285.96312962694157,291.1141594269167
AGUSAN DEL SUR,80.73817762399077,107.74010179126182,100.26298487836945,85.47008547008545,89.5792241946088
